"","County","State","Population"
"284","Mesa County","Colorado",154210
"285","Mineral County","Colorado",769
"286","Moffat County","Colorado",13283
"287","Montezuma County","Colorado",26183
"288","Montrose County","Colorado",42758
"289","Morgan County","Colorado",29068
"290","Otero County","Colorado",18278
"291","Ouray County","Colorado",4952
"292","Park County","Colorado",18845
"293","Phillips County","Colorado",4265
"294","Pitkin County","Colorado",17767
"295","Prowers County","Colorado",12172
"296","Pueblo County","Colorado",168424
"297","Rio Blanco County","Colorado",6324
"298","Rio Grande County","Colorado",11267
"299","Routt County","Colorado",25638
"300","Saguache County","Colorado",6824
"301","San Juan County","Colorado",728
"302","San Miguel County","Colorado",8179
"303","Sedgwick County","Colorado",2248
"304","Summit County","Colorado",31011
"305","Teller County","Colorado",25388
"306","Washington County","Colorado",4908
"307","Weld County","Colorado",324492
"308","Yuma County","Colorado",10019
"309","Fairfield County","Connecticut",943332
"310","Hartford County","Connecticut",891720
"311","Litchfield County","Connecticut",180333
"312","Middlesex County","Connecticut",162436
"313","New Haven County","Connecticut",854757
"314","New London County","Connecticut",265206
"315","Tolland County","Connecticut",150721
"316","Windham County","Connecticut",116782
"317","Kent County","Delaware",180786
"318","New Castle County","Delaware",558753
"319","Sussex County","Delaware",234225
"320","District of Columbia","District of Columbia",705749
"321","Alachua County","Florida",269043
"322","Baker County","Florida",29210
"323","Bay County","Florida",174705
"324","Bradford County","Florida",28201
"325","Brevard County","Florida",601942
"326","Broward County","Florida",1952778
"327","Calhoun County","Florida",14105
"328","Charlotte County","Florida",188910
"329","Citrus County","Florida",149657
"330","Clay County","Florida",219252
"331","Collier County","Florida",384902
"332","Columbia County","Florida",71686
"333","DeSoto County","Florida",38001
"334","Dixie County","Florida",16826
"335","Duval County","Florida",957755
"336","Escambia County","Florida",318316
"337","Flagler County","Florida",115081
"338","Franklin County","Florida",12125
"339","Gadsden County","Florida",45660
"340","Gilchrist County","Florida",18582
"341","Glades County","Florida",13811
"342","Gulf County","Florida",13639
"343","Hamilton County","Florida",14428
"344","Hardee County","Florida",26937
"345","Hendry County","Florida",42022
"346","Hernando County","Florida",193920
"347","Highlands County","Florida",106221
"348","Hillsborough County","Florida",1471968
"349","Holmes County","Florida",19617
"350","Indian River County","Florida",159923
"351","Jackson County","Florida",46414
"352","Jefferson County","Florida",14246
"353","Lafayette County","Florida",8422
"354","Lake County","Florida",367118
"355","Lee County","Florida",770577
"356","Leon County","Florida",293582
"357","Levy County","Florida",41503
"358","Liberty County","Florida",8354
"359","Madison County","Florida",18493
"360","Manatee County","Florida",403253
"361","Marion County","Florida",365579
"362","Martin County","Florida",161000
"363","Miami-Dade County","Florida",2716940
"364","Monroe County","Florida",74228
"365","Nassau County","Florida",88625
"366","Okaloosa County","Florida",210738
"367","Okeechobee County","Florida",42168
"368","Orange County","Florida",1393452
"369","Osceola County","Florida",375751
"370","Palm Beach County","Florida",1496770
"371","Pasco County","Florida",553947
"372","Pinellas County","Florida",974996
"373","Polk County","Florida",724777
"374","Putnam County","Florida",74521
"375","St. Johns County","Florida",264672
"376","St. Lucie County","Florida",328297
"377","Santa Rosa County","Florida",184313
"378","Sarasota County","Florida",433742
"379","Seminole County","Florida",471826
"380","Sumter County","Florida",132420
"381","Suwannee County","Florida",44417
"382","Taylor County","Florida",21569
"383","Union County","Florida",15237
"384","Volusia County","Florida",553284
"385","Wakulla County","Florida",33739
"386","Walton County","Florida",74071
"387","Washington County","Florida",25473
"388","Appling County","Georgia",18386
"389","Atkinson County","Georgia",8165
"390","Bacon County","Georgia",11164
"391","Baker County","Georgia",3038
"392","Baldwin County","Georgia",44890
"393","Banks County","Georgia",19234
"394","Barrow County","Georgia",83240
"395","Bartow County","Georgia",107738
"396","Ben Hill County","Georgia",16700
"397","Berrien County","Georgia",19397
